,Datetime,Open,High,Low,Close,Volume,Asset
BTC-USD,2024-09-16 00:00:00+00:00,59141.94921875,59195.609375,58652.78125,58679.8515625,0.0,BTC-USD
BTC-USD,2024-09-16 01:00:00+00:00,58688.41796875,58764.75,58455.328125,58666.4609375,1082664960.0,BTC-USD
BTC-USD,2024-09-16 02:00:00+00:00,58625.51953125,58625.51953125,58173.53515625,58213.70703125,1144141824.0,BTC-USD
BTC-USD,2024-09-16 03:00:00+00:00,58261.83203125,58584.73046875,58228.9921875,58581.89453125,875732992.0,BTC-USD
BTC-USD,2024-09-16 04:00:00+00:00,58569.51171875,58569.51171875,58333.83203125,58333.83203125,425512960.0,BTC-USD
BTC-USD,2024-09-16 05:00:00+00:00,58347.18359375,58647.984375,58347.18359375,58647.984375,645830656.0,BTC-USD
BTC-USD,2024-09-16 06:00:00+00:00,58667.91796875,58835.953125,58634.8359375,58696.98046875,699125760.0,BTC-USD
BTC-USD,2024-09-16 07:00:00+00:00,58699.8984375,58952.56640625,58674.6953125,58906.94921875,465446912.0,BTC-USD
BTC-USD,2024-09-16 08:00:00+00:00,58903.5078125,59154.6171875,58852.77734375,58909.46875,1150443520.0,BTC-USD
BTC-USD,2024-09-16 09:00:00+00:00,58913.5625,59026.1875,58589.171875,58648.35546875,704612352.0,BTC-USD
BTC-USD,2024-09-16 10:00:00+00:00,58621.5234375,58712.74609375,58515.109375,58702.16796875,395175936.0,BTC-USD
BTC-USD,2024-09-16 11:00:00+00:00,58714.71484375,58815.70703125,58655.0390625,58656.88671875,340738048.0,BTC-USD
BTC-USD,2024-09-16 12:00:00+00:00,58655.33984375,58773.3984375,58484.2734375,58584.44921875,539179008.0,BTC-USD
BTC-USD,2024-09-16 13:00:00+00:00,58528.328125,58598.2578125,58107.171875,58434.578125,1132722176.0,BTC-USD
BTC-USD,2024-09-16 14:00:00+00:00,58475.94140625,58475.94140625,57598.20703125,57609.5859375,1646241792.0,BTC-USD
BTC-USD,2024-09-16 15:00:00+00:00,57594.62109375,57973.45703125,57582.54296875,57914.42578125,870549504.0,BTC-USD
BTC-USD,2024-09-16 16:00:00+00:00,57875.87109375,57935.79296875,57691.875,57847.79296875,431173632.0,BTC-USD
BTC-USD,2024-09-16 17:00:00+00:00,57799.390625,58212.9296875,57526.57421875,58182.09375,916772864.0,BTC-USD
BTC-USD,2024-09-16 18:00:00+00:00,58170.34375,58170.34375,57707.6171875,57807.7890625,552196096.0,BTC-USD
BTC-USD,2024-09-16 19:00:00+00:00,57872.8515625,58010.0390625,57828.4140625,57978.54296875,194111488.0,BTC-USD
BTC-USD,2024-09-16 20:00:00+00:00,57924.140625,58160.54296875,57658.56640625,57658.56640625,385449984.0,BTC-USD
BTC-USD,2024-09-16 21:00:00+00:00,57661.0390625,57975.44140625,57661.0390625,57975.44140625,0.0,BTC-USD
BTC-USD,2024-09-16 22:00:00+00:00,57980.0234375,57996.3671875,57851.34375,57958.9609375,0.0,BTC-USD
BTC-USD,2024-09-16 23:00:00+00:00,57961.63671875,58386.05859375,57961.63671875,58189.85546875,0.0,BTC-USD
BTC-USD,2024-09-17 00:00:00+00:00,58204.09375,58336.74609375,57647.4921875,57647.4921875,0.0,BTC-USD
BTC-USD,2024-09-17 01:00:00+00:00,57643.33203125,57924.32421875,57643.33203125,57864.87890625,0.0,BTC-USD
BTC-USD,2024-09-17 02:00:00+00:00,57888.6640625,58186.8125,57841.19921875,58106.16015625,0.0,BTC-USD
BTC-USD,2024-09-17 03:00:00+00:00,58100.97265625,58125.5234375,58016.08984375,58058.48828125,0.0,BTC-USD
BTC-USD,2024-09-17 04:00:00+00:00,58057.546875,58294.32421875,58043.18359375,58239.609375,0.0,BTC-USD
BTC-USD,2024-09-17 05:00:00+00:00,58234.515625,58751.83984375,58234.515625,58665.2890625,0.0,BTC-USD
BTC-USD,2024-09-17 06:00:00+00:00,58661.1875,58661.1875,58441.00390625,58495.33984375,0.0,BTC-USD
BTC-USD,2024-09-17 07:00:00+00:00,58490.83203125,58695.40234375,58454.16796875,58690.1015625,124100608.0,BTC-USD
BTC-USD,2024-09-17 08:00:00+00:00,58694.80859375,58828.5,58649.67578125,58786.640625,0.0,BTC-USD
BTC-USD,2024-09-17 09:00:00+00:00,58786.2109375,59071.88671875,58713.91015625,58972.91796875,0.0,BTC-USD
BTC-USD,2024-09-17 10:00:00+00:00,58962.9140625,59262.3203125,58927.46484375,59220.04296875,472840192.0,BTC-USD
BTC-USD,2024-09-17 11:00:00+00:00,59245.50390625,59273.88671875,59056.5859375,59114.56640625,169889792.0,BTC-USD
BTC-USD,2024-09-17 12:00:00+00:00,59092.84765625,59433.31640625,59075.33984375,59431.62890625,566976512.0,BTC-USD
BTC-USD,2024-09-17 13:00:00+00:00,59386.515625,59386.515625,58910.32421875,58949.078125,0.0,BTC-USD
BTC-USD,2024-09-17 14:00:00+00:00,58967.87109375,60345.5234375,58967.87109375,60249.859375,2184046592.0,BTC-USD
BTC-USD,2024-09-17 15:00:00+00:00,60249.83984375,61289.640625,60249.83984375,61137.2734375,3655716864.0,BTC-USD
BTC-USD,2024-09-17 16:00:00+00:00,61121.13671875,61258.15625,60772.0078125,60929.80078125,1214615552.0,BTC-USD
BTC-USD,2024-09-17 17:00:00+00:00,60878.33984375,60985.328125,60736.93359375,60930.546875,0.0,BTC-USD
BTC-USD,2024-09-17 18:00:00+00:00,60975.21484375,61064.546875,60445.6484375,60565.4140625,3538944.0,BTC-USD
BTC-USD,2024-09-17 19:00:00+00:00,60567.4765625,60686.5546875,59750.45703125,60024.77734375,1276919808.0,BTC-USD
BTC-USD,2024-09-17 20:00:00+00:00,59982.42578125,60321.54296875,59767.8046875,60157.44921875,837984256.0,BTC-USD
BTC-USD,2024-09-17 21:00:00+00:00,60137.09765625,60398.3671875,60137.09765625,60327.7890625,0.0,BTC-USD
BTC-USD,2024-09-17 22:00:00+00:00,60334.67578125,60334.67578125,60158.70703125,60274.16015625,141168640.0,BTC-USD
BTC-USD,2024-09-17 23:00:00+00:00,60268.16015625,60326.3828125,60041.76953125,60326.3828125,0.0,BTC-USD
BTC-USD,2024-09-18 00:00:00+00:00,60316.3828125,60335.484375,59913.9140625,60265.2265625,254840832.0,BTC-USD
BTC-USD,2024-09-18 01:00:00+00:00,60242.94921875,60298.3671875,60047.9140625,60111.1640625,5791744.0,BTC-USD
BTC-USD,2024-09-18 02:00:00+00:00,60120.62890625,60340.484375,60095.7265625,60336.08984375,0.0,BTC-USD
BTC-USD,2024-09-18 03:00:00+00:00,60350.78515625,60716.76953125,60350.78515625,60526.796875,991961088.0,BTC-USD
BTC-USD,2024-09-18 04:00:00+00:00,60518.12109375,60678.96875,60338.390625,60385.8203125,261021696.0,BTC-USD
BTC-USD,2024-09-18 05:00:00+00:00,60428.35546875,60428.35546875,60231.1640625,60249.609375,0.0,BTC-USD
BTC-USD,2024-09-18 06:00:00+00:00,60246.10546875,60485.01953125,60233.390625,60429.3671875,0.0,BTC-USD
BTC-USD,2024-09-18 07:00:00+00:00,60455.1953125,60510.07421875,60353.19140625,60445.30078125,0.0,BTC-USD
BTC-USD,2024-09-18 08:00:00+00:00,60437.484375,60437.484375,60118.2734375,60192.33203125,0.0,BTC-USD
BTC-USD,2024-09-18 09:00:00+00:00,60195.953125,60195.953125,59698.94140625,59698.94140625,183472128.0,BTC-USD
BTC-USD,2024-09-18 10:00:00+00:00,59665.32421875,59911.66015625,59392.53125,59911.66015625,656343040.0,BTC-USD
BTC-USD,2024-09-18 11:00:00+00:00,59908.53125,59984.44140625,59844.1640625,59880.828125,0.0,BTC-USD
BTC-USD,2024-09-18 12:00:00+00:00,59853.79296875,59993.25390625,59704.00390625,59993.25390625,0.0,BTC-USD
BTC-USD,2024-09-18 13:00:00+00:00,59977.9453125,60140.046875,59405.62890625,59439.79296875,0.0,BTC-USD
BTC-USD,2024-09-18 14:00:00+00:00,59494.96484375,59749.2890625,59353.9609375,59456.51171875,0.0,BTC-USD
BTC-USD,2024-09-18 15:00:00+00:00,59478.9375,59724.62890625,59356.25390625,59476.66796875,0.0,BTC-USD
BTC-USD,2024-09-18 16:00:00+00:00,59428.51171875,59944.921875,59218.25390625,59944.921875,0.0,BTC-USD
BTC-USD,2024-09-18 17:00:00+00:00,59920.0390625,60185.16015625,59546.76171875,60003.48046875,0.0,BTC-USD
BTC-USD,2024-09-18 18:00:00+00:00,59999.41796875,61153.91796875,59999.41796875,60654.56640625,5787770880.0,BTC-USD
